,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
858,59900.55491,222.71,0.56,30.7,0.4,3.45,1152.3,11.8,283.2,51.6,0.106,0.001,7.63,3.1,3.2,3.4,109.4,8.2,12.2,5.6
859,59900.55537,220.64,0.14,167,2.2,7.7,1035,6.4,214.3,12.9,1.286,0.017,92.77,-0.5,0.4,0.4,101.2,1.1,5.6,0.8
860,59900.55565,223.16,1.76,30.5,0.4,2.05,1283.6,7.7,194.5,29.2,0.062,0.001,4.51,0.7,3.3,3.2,106.1,10.3,-15.4,7.1
861,59900.55613,220.98,0.08,879.7,11.4,2.93,1043.2,4.4,211.5,9.3,2.575,0.033,185.77,0.3,0.1,0.1,100.1,0.4,-5.3,0.3
862,59900.55673,221.71,0.61,28.2,0.4,1.05,1092.5,14.1,163.8,41.3,0.03,0,2.14,-5.7,7,6.8,91.9,15,8.3,11.1
863,59900.55673,220.09,0.18,29.4,0.4,2.07,968.9,31.6,114.8,29.7,0.061,0.001,4.39,-18.1,9.2,9.3,115.3,12.3,13.8,8.1
864,59900.55673,220.09,0.19,117.8,1.5,0.68,1028.8,4.8,88.3,11,0.08,0.001,5.75,14.1,4,4.9,98.2,6.8,7.8,4.8
865,59900.5571,220.15,0.09,278.5,3.6,7.46,1053.2,4.2,247.2,9.6,2.077,0.027,149.8,-1.3,0.2,0.2,99.5,0.6,4.5,0.4
866,59900.55721,220.77,0.12,66.1,0.9,3.77,1046.9,6.1,182.4,14.1,0.249,0.003,17.98,2.3,1,1.1,98.1,3.2,1.7,2.3
867,59900.55771,221.27,0.17,35.3,0.4,4.34,1068.7,10.5,224,27.3,0.153,0.002,11.05,1.7,1.7,1.9,93.5,5.6,3.2,4.1
868,59900.55774,219.79,0.09,81.3,0.8,5.36,1023.3,2.5,111,5,0.436,0.004,31.45,2.5,1.1,1.1,98.9,2.1,-1.1,1.5
869,59900.55776,223.54,1.86,463.9,4.7,8.97,1273.5,5.3,422.1,72.8,4.162,0.042,300.21,-1.5,0.1,0.1,99,0.4,-9.3,0.2
870,59900.55776,221.92,0.39,54.2,0.5,4.26,1088,17.2,361.3,95.5,0.231,0.002,16.67,1.5,2.1,2.1,98.8,4.9,3.9,3.5
871,59900.55776,220.06,0.12,235.5,2.4,13.81,1021.9,3.2,160.4,5.8,3.254,0.033,234.7,3.5,0.2,0.2,98.5,0.5,-8.8,0.4
872,59900.55789,222.94,0.44,34.8,0.3,3.86,1102.1,27.8,180.7,93.4,0.134,0.001,9.7,11.1,2.1,2.1,92.4,6.9,-3.2,5
